Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,Row,Column
lungcancer_GSE31210,Default,113,0.5,122,0.5398230088495575,113,0.5,226,23
lungcancer_GSE31210,Mod,175,0.7743362831858407,226,1.0,51,0.2256637168141592,226,23
lympho,Default,85,0.5743243243243243,74,0.5,73,0.4932432432432432,148,18
lympho,Mod,86,0.581081081081081,124,0.8378378378378378,68,0.4594594594594595,148,18
mw1,Default,232,0.575682382133995,293,0.7270471464019851,207,0.5136476426799007,403,37
mw1,Mod,330,0.8188585607940446,179,0.4441687344913151,227,0.5632754342431762,403,37
optdigits,Default,2230,0.4275306748466257,2607,0.4998082822085889,2633,0.504792944785276,5216,64
optdigits,Mod,2403,0.4606978527607362,5216,1.0,2813,0.5393021472392638,5216,64
pc1,Default,111,0.1000901713255184,554,0.4995491433724076,555,0.5004508566275925,1109,21
pc1,Mod,917,0.8268710550045085,401,0.3615870153291253,690,0.6221821460775473,1109,21
pima,Default,390,0.5078125,555,0.72265625,385,0.5013020833333334,768,8
pima,Mod,602,0.7838541666666666,497,0.6471354166666666,277,0.3606770833333333,768,8
satellite,Default,3226,0.5013209013209013,5129,0.797047397047397,3205,0.498057498057498,6435,36
satellite,Mod,4752,0.7384615384615385,2819,0.438073038073038,3549,0.5515151515151515,6435,36
satimage-2,Default,2861,0.4930208512838187,4361,0.7515078407720145,2940,0.5066344993968637,5803,36
satimage-2,Mod,5237,0.9024642426331208,2384,0.4108219886265725,3501,0.6033086334654489,5803,36
thoracic_surgery,Default,242,0.5148936170212766,285,0.6063829787234043,227,0.4829787234042553,470,17
thoracic_surgery,Mod,338,0.7191489361702128,251,0.5340425531914894,217,0.4617021276595744,470,17
thyroid,Default,1655,0.4387592788971368,1876,0.4973488865323436,1507,0.3995227995758218,3772,6
thyroid,Mod,3520,0.9331919406150584,3479,0.922322375397667,65,0.0172322375397667,3772,6
vertebral,Default,121,0.5041666666666667,203,0.8458333333333333,122,0.5083333333333333,240,6
vertebral,Mod,200,0.8333333333333334,120,0.5,124,0.5166666666666667,240,6
visualizing_livestock,Default,65,0.5,107,0.823076923076923,66,0.5076923076923077,130,2
visualizing_livestock,Mod,82,0.6307692307692307,85,0.6538461538461539,51,0.3923076923076923,130,2
vowels,Default,647,0.4443681318681318,726,0.4986263736263736,685,0.4704670329670329,1456,12
vowels,Mod,1225,0.8413461538461539,1456,1.0,231,0.1586538461538461,1456,12
wbc,Default,162,0.4285714285714285,177,0.4682539682539682,149,0.3941798941798942,378,30
wbc,Mod,351,0.9285714285714286,347,0.917989417989418,22,0.0582010582010582,378,30
wine,Default,65,0.5038759689922481,74,0.5736434108527132,59,0.4573643410852713,129,13
wine,Mod,100,0.7751937984496124,50,0.3875968992248062,74,0.5736434108527132,129,13
spambase,Default,2287,0.4970658552488589,2509,0.5453162356009563,2330,0.5064116496413823,4601,57
spambase,Mod,4414,0.9593566615953054,3507,0.7622256031297544,1073,0.2332101717018039,4601,57
