Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per,Row,Column
arsenic-male-lung,Mod,363,0.6493738819320215,252,0.4508050089445438,327,0.5849731663685152,48,0.3555555555555555,0,0.0,313,0.7825,2,1.0,163,0.7616822429906542,5,1.0,84,0.6222222222222222,0,0.0,65,0.3037383177570093,5,1.0,253,0.6293532338308457,4,1.0,559,4
backache,Default,98,0.5444444444444444,102,0.5666666666666667,100,0.5555555555555556,9,0.1267605633802817,6,1.0,79,0.5602836879432624,4,1.0,48,0.6075949367088608,11,0.7857142857142857,40,0.5633802816901409,3,0.5,13,0.1645569620253164,13,0.9285714285714286,73,0.5251798561151079,1,0.5,180,31
backache,Mod,134,0.7444444444444445,105,0.5833333333333334,83,0.4611111111111111,7,0.28,14,1.0,109,0.8582677165354331,4,1.0,86,0.8514851485148515,1,0.1428571428571428,10,0.4,8,0.5714285714285714,26,0.2574257425742574,7,1.0,49,0.3951612903225806,1,1.0,180,31
breastw,Default,368,0.5387994143484627,533,0.780380673499268,317,0.4641288433382137,4,0.0261437908496732,38,0.8444444444444444,280,0.6526806526806527,46,0.8679245283018868,253,0.7666666666666667,194,0.8471615720524017,76,0.4967320261437908,10,0.2222222222222222,17,0.0515151515151515,192,0.8384279475982532,104,0.2494004796163069,4,0.0975609756097561,683,9
breastw,Mod,479,0.7013177159590044,568,0.8316251830161054,209,0.3060029282576866,25,0.2840909090909091,19,0.4042553191489361,294,0.8235294117647058,141,0.834319526627219,340,0.8673469387755102,176,0.8502415458937198,36,0.4090909090909091,16,0.3404255319148936,78,0.1989795918367347,82,0.3961352657004831,24,0.0710059171597633,25,0.1666666666666666,683,9
cardio,Default,1077,0.588203167667941,1223,0.6679410158383398,908,0.4959038776624795,127,0.1713900134952766,67,0.9571428571428572,872,0.5868102288021534,11,0.7857142857142857,644,0.706140350877193,106,0.6022727272727273,473,0.6383265856950068,0,0.0,86,0.094298245614035,161,0.9147727272727272,661,0.4445191661062542,0,0.0,1831,21
cardio,Mod,1564,0.8541780447842708,1831,1.0,299,0.1632987438558165,22,0.2095238095238095,102,0.9026548672566372,1428,0.945069490403706,12,0.5217391304347826,1550,1.0,63,1.0,105,1.0,113,1.0,134,0.0864516129032258,57,0.9047619047619048,93,0.0616302186878727,15,0.7142857142857143,1831,21
climate-model-simulation-crashes,Default,278,0.5148148148148148,401,0.7425925925925926,285,0.5277777777777778,25,0.104602510460251,15,1.0,232,0.5201793721973094,6,1.0,190,0.7480314960629921,25,0.8620689655172413,175,0.7322175732217573,11,0.7333333333333333,31,0.1220472440944882,27,0.9310344827586208,223,0.5,4,0.6666666666666666,540,21
climate-model-simulation-crashes,Mod,336,0.6222222222222222,294,0.5444444444444444,272,0.5037037037037037,47,0.3381294964028777,18,0.6923076923076923,262,0.7401129943502824,9,0.5294117647058824,212,0.7235494880546075,7,0.4375,58,0.4172661870503597,17,0.6538461538461539,97,0.3310580204778157,13,0.8125,153,0.4383954154727794,9,0.75,540,21
datatrieve,Default,85,0.6538461538461539,107,0.823076923076923,72,0.5538461538461539,9,0.2045454545454545,3,0.6,73,0.6759259259259259,0,0.0,56,0.9333333333333332,6,1.0,40,0.9090909090909092,5,1.0,10,0.1666666666666666,5,0.8333333333333334,57,0.5327102803738317,0,0.0,130,8
datatrieve,Mod,90,0.6923076923076923,62,0.4769230769230769,74,0.5692307692307692,7,0.3043478260869565,4,0.8,77,0.8279569892473119,2,0.6666666666666666,47,0.8103448275862069,0,0.0,12,0.5217391304347826,3,0.6,18,0.3103448275862069,2,1.0,52,0.5652173913043478,2,1.0,130,8
fertility,Default,54,0.54,59,0.59,49,0.49,7,0.1489361702127659,5,1.0,40,0.5,2,1.0,24,0.5454545454545454,5,0.7142857142857143,27,0.574468085106383,3,0.6,3,0.0681818181818181,6,0.8571428571428571,39,0.4875,1,0.5,100,9
fertility,Mod,83,0.83,70,0.7,39,0.39,33,0.8048780487804879,5,1.0,38,0.8260869565217391,7,1.0,33,0.717391304347826,5,0.8333333333333334,28,0.6829268292682927,4,0.8,18,0.391304347826087,1,0.1666666666666666,18,0.391304347826087,2,0.2857142857142857,100,9
flare,Default,460,0.4315196998123827,549,0.5150093808630394,533,0.5,75,0.1290877796901893,50,1.0,303,0.3745364647713226,32,1.0,149,0.3590361445783132,60,0.7058823529411765,315,0.5421686746987951,25,0.5,27,0.0650602409638554,67,0.788235294117647,423,0.5215782983970407,16,0.4705882352941176,1066,10
flare,Mod,847,0.7945590994371482,1066,1.0,469,0.4399624765478424,254,0.7236467236467237,81,0.7168141592920354,458,0.8252252252252252,54,0.627906976744186,533,1.0,69,1.0,351,1.0,113,1.0,189,0.3545966228893058,29,0.4202898550724637,206,0.3745454545454545,45,0.5294117647058824,1066,10
glass,Default,99,0.4626168224299065,105,0.4906542056074766,94,0.4392523364485981,13,0.1111111111111111,3,0.5,83,0.4438502673796791,0,0.0,45,0.4368932038834951,0,0.0,59,0.5042735042735043,1,0.1666666666666666,4,0.0388349514563106,2,0.4,88,0.4705882352941176,0,0.0,214,9
