Filename,Mode,AvgTimeElapsed,Flipped,FlippedPercentage,RunNumber50p,AvgFlippedPerRun,AvgFlippedPerRunPercentage,ti_fo_per_all,to_fi_per_all,ti_fo_per_avg,to_fi_per_avg,ti_fo_all,to_fi_all,ti_fo_avg,to_fi_avg
MeanWhile1,Optimal,0.07237438,24,0.09486166,1,5.908571429,0.023354037,0.079646018,0.222222222,0.022456204,0.030869237,8,0,5.075102041,0.833469388
MeanWhile1,Fast,0.03686858,60,0.23715415,1,14.80408163,0.058514157,0.243362832,0.185185185,0.0588622,0.055600907,12,4,13.30285714,1.50122449
MegaWatt1,Default,0.07148258,23,0.090909091,1,5.349387755,0.021143825,0.075221239,0.222222222,0.019277587,0.036764928,4,0,4.356734694,0.992653061
MegaWatt1,Optimal,0.07288036,21,0.083003953,1,5.366530612,0.021211583,0.07079646,0.185185185,0.020502077,0.027150416,3,1,4.633469388,0.733061224
MegaWatt1,Fast,0.03689866,60,0.23715415,1,13.81795918,0.054616439,0.230088496,0.296296296,0.054683041,0.054058957,16,1,12.35836735,1.459591837
PieChart1,Default,0.07682532,45,0.063829787,1,10.93877551,0.015515994,0.059006211,0.114754098,0.01501838,0.020769488,6,0,9.671836735,1.266938776
PieChart1,Optimal,0.37127458,17,0.024113475,1,4.195918367,0.005951657,0.023291925,0.032786885,0.006331601,0.001940448,4,0,4.07755102,0.118367347
PieChart1,Fast,0.03679002,106,0.15035461,1,26.64734694,0.037797655,0.156832298,0.081967213,0.038992268,0.025185681,16,2,25.11102041,1.536326531
PieChart2,Default,0.07394652,40,0.053691275,1,9.400816327,0.012618545,0.0521262,0.125,0.011523754,0.0625,8,2,8.400816327,1
PieChart2,Optimal,0.38168046,12,0.016107383,1,2.497142857,0.00335187,0.016460905,0,0.003425436,0,2,0,2.497142857,0
PieChart2,Fast,0.03585794,115,0.154362416,1,24.19183673,0.032472264,0.152263374,0.25,0.032243218,0.042908163,17,2,23.50530612,0.686530612
PieChart3,Default,0.07478884,56,0.051996286,1,13.15183673,0.012211548,0.04135737,0.126865672,0.009316337,0.032586049,7,5,8.785306122,4.366530612
PieChart3,Optimal,0.07890426,28,0.025998143,1,7.14122449,0.006630663,0.022269353,0.052238806,0.005361958,0.01555894,3,2,5.056326531,2.084897959
PieChart3,Fast,0.0363357,148,0.137418756,1,32.76081633,0.030418585,0.116648993,0.28358209,0.024561647,0.071635699,19,9,23.16163265,9.599183673
PizzaCutter1,Default,0.0720177,35,0.052950076,1,10.1322449,0.015328661,0.049261084,0.096153846,0.013100097,0.041428571,13,1,7.977959184,2.154285714
PizzaCutter1,Optimal,0.3773998,13,0.019667171,1,2.373877551,0.003591343,0.019704433,0.019230769,0.003403371,0.005792779,1,0,2.072653061,0.30122449
PizzaCutter1,Fast,0.0364933,109,0.164901664,1,24.79510204,0.037511501,0.165845649,0.153846154,0.037490701,0.037755102,34,2,22.83183673,1.963265306
PizzaCutter3,Default,0.0755587,55,0.052732502,1,13.05142857,0.012513354,0.043668122,0.118110236,0.010296765,0.028500723,13,3,9.431836735,3.619591837
PizzaCutter3,Optimal,0.07334684,55,0.052732502,1,11.71265306,0.011229773,0.046943231,0.094488189,0.009403796,0.024399807,7,4,8.613877551,3.09877551
PizzaCutter3,Fast,0.0359898,161,0.154362416,1,34.32734694,0.032912126,0.134279476,0.299212598,0.02749844,0.071958862,51,17,25.18857143,9.13877551
ac_apnea1,Default,0.07221648,85,0.178947368,1,23.87265306,0.050258217,0.183574879,0.147540984,0.053276151,0.029775845,39,4,22.05632653,1.816326531
ac_apnea1,Optimal,0.07262036,6,0.012631579,6,0.355102041,0.000747583,0.014492754,0,0.000857734,0,0,0,0.355102041,0
ac_apnea1,Fast,0.0366347,115,0.242105263,1,36.2644898,0.076346294,0.251207729,0.180327869,0.080757172,0.046410171,28,6,33.43346939,2.831020408
ac_apnea2,Default,0.07529542,83,0.174736842,1,23.1722449,0.048783673,0.180048662,0.140625,0.053569691,0.018048469,17,0,22.01714286,1.155102041
ac_apnea2,Optimal,0.07377572,0,0,-1,0,0,0,0,0,0,0,0,0,0
ac_apnea2,Fast,0.03457904,116,0.244210526,1,36.79918367,0.077471966,0.250608273,0.203125,0.081529371,0.051415816,23,2,33.50857143,3.290612245
ac_apnea3,Default,0.07481474,78,0.173333333,1,21.83673469,0.048526077,0.182278481,0.109090909,0.051664169,0.025988868,22,1,20.40734694,1.429387755
ac_apnea3,Optimal,0.35673034,0,0,-1,0,0,0,0,0,0,0,0,0,0
ac_apnea3,Fast,0.03442864,114,0.253333333,1,37.68979592,0.083755102,0.258227848,0.218181818,0.086757944,0.062189239,10,1,34.26938776,3.420408163
ac_challenger,Default,0.06805318,0,0,-1,0,0,0,0,0,0,0,0,0,0
ac_challenger,Optimal,0.06647538,0,0,-1,0,0,0,0,0,0,0,0,0,0
ac_challenger,Fast,0.033904,18,0.130434783,8,2.28244898,0.016539485,0.139534884,0,0.017693403,0,0,0,2.28244898,0
ac_chlamydia,Default,0.07127912,12,0.12,1,1.662040816,0.016620408,0.098765432,0.210526316,0.013716301,0.029001074,1,0,1.111020408,0.551020408
ac_chlamydia,Optimal,0.04640208,0,0,-1,0,0,0,0,0,0,0,0,0,0
ac_chlamydia,Fast,0.03409588,21,0.21,2,3.035102041,0.03035102,0.172839506,0.368421053,0.026344167,0.047432868,2,1,2.133877551,0.90122449
ac_lawsuit,Default,0.07392934,42,0.159090909,1,11.3355102,0.042937539,0.155102041,0.210526316,0.041982507,0.055252417,4,0,10.28571429,1.049795918
ac_lawsuit,Optimal,0.35948188,19,0.071969697,1,4.127346939,0.01563389,0.073469388,0.052631579,0.014793836,0.026466165,2,0,3.624489796,0.502857143
ac_lawsuit,Fast,0.03640554,92,0.348484848,1,22.73959184,0.086134818,0.346938776,0.368421053,0.086090796,0.08670247,20,1,21.0922449,1.647346939
ac_neavote,Default,0.07027814,28,0.28,1,5.724897959,0.05724898,0.268817204,0.428571429,0.054737766,0.090612245,5,0,5.090612245,0.634285714
ac_neavote,Optimal,0.06958906,33,0.33,1,8.133061224,0.081330612,0.322580645,0.428571429,0.077041914,0.138309038,10,1,7.164897959,0.968163265
ac_neavote,Fast,0.03640026,41,0.41,1,13.71102041,0.137110204,0.408602151,0.428571429,0.132631117,0.196618076,15,0,12.33469388,1.376326531
annthyroid,Default,0.08652518,530,0.073611111,1,131.3183673,0.018238662,0.065556556,0.174157303,0.016352982,0.04177788,88,18,109.0089796,22.30938776
annthyroid,Optimal,0.46078292,168,0.023333333,1,41.52,0.005766667,0.020252025,0.061797753,0.005082141,0.014311702,38,3,33.87755102,7.64244898
annthyroid,Fast,0.04165144,1617,0.224583333,1,405.0628571,0.05625873,0.208370837,0.426966292,0.051670187,0.113538179,328,54,344.4334694,60.62938776
appendicitis,Default,0.06689682,20,0.188679245,1,4.48244898,0.042287255,0.176470588,0.238095238,0.033152461,0.079261419,2,3,2.817959184,1.664489796
appendicitis,Optimal,0.3432462,10,0.094339623,1,2.293061224,0.021632653,0.094117647,0.095238095,0.026036014,0.003809524,3,0,2.213061224,0.08
appendicitis,Fast,0.03778552,25,0.235849057,1,6.474285714,0.061078167,0.188235294,0.428571429,0.056057623,0.081399417,4,0,4.764897959,1.709387755
ar1,Default,0.06995972,14,0.115702479,1,4.170612245,0.03446787,0.116071429,0.111111111,0.036537901,0.008707483,3,0,4.092244898,0.078367347
ar1,Optimal,0.07061336,13,0.107438017,1,4.092244898,0.033820206,0.107142857,0.111111111,0.035510204,0.012789116,5,1,3.977142857,0.115102041
ar1,Fast,0.03662204,21,0.173553719,1,5.342857143,0.044155844,0.178571429,0.111111111,0.047004373,0.008707483,2,0,5.264489796,0.078367347
ar3,Default,0.06938,3,0.047619048,1,1.395102041,0.022144477,0.036363636,0.125,0.016623377,0.060102041,1,0,0.914285714,0.480816327
ar3,Optimal,0.17161014,3,0.047619048,1,1.023673469,0.016248785,0.036363636,0.125,0.009706865,0.06122449,0,0,0.533877551,0.489795918
