Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
annthyroid,Mod,6296,0.8744444444444445,6294,0.8741666666666666,32,0.0044444444444444444,145,0.2871287128712871,369,0.9365482233502538,5736,0.9409448818897638,46,0.647887323943662,5733,0.9410702560735391,45,0.6521739130434783,146,0.2891089108910891,370,0.9390862944162437,12,0.001969796454366382,2,0.028985507246376812,15,0.002461033634126333,3,0.04285714285714286
appendicitis,Default,43,0.4056603773584906,51,0.4811320754716981,40,0.37735849056603776,3,0.061224489795918366,8,0.8,31,0.4025974025974026,1,0.3333333333333333,22,0.4489795918367347,6,0.4,22,0.4489795918367347,1,0.1,0,0.0,13,0.8666666666666667,27,0.35526315789473684,0,0.0
appendicitis,Mod,86,0.8113207547169812,88,0.8301886792452831,2,0.018867924528301886,12,0.6,10,0.6666666666666666,60,0.8823529411764706,4,0.4444444444444444,62,0.8985507246376812,4,0.4,13,0.65,9,0.6,1,0.014492753623188406,1,0.1,0,0.0,0,0.0
ar1,Default,12,0.09917355371900827,66,0.5454545454545454,54,0.4462809917355372,9,0.08333333333333333,1,0.5,2,0.019801980198019802,0,0.0,4,0.07142857142857142,4,1.0,56,0.5185185185185185,2,1.0,3,0.05357142857142857,2,0.5,49,0.4803921568627451,0,0.0
ar1,Mod,86,0.7107438016528925,52,0.4297520661157025,60,0.49586776859504134,0,0.0,5,0.7142857142857143,81,0.8350515463917526,0,0.0,38,0.8444444444444444,2,0.3333333333333333,9,0.5625,3,0.42857142857142855,2,0.044444444444444446,3,0.5,55,0.5612244897959183,0,0.0
ar3,Default,11,0.1746031746031746,42,0.6666666666666666,27,0.42857142857142855,2,0.044444444444444446,1,1.0,7,0.14,1,1.0,10,0.3225806451612903,7,1.0,24,0.5333333333333333,1,1.0,1,0.03225806451612903,6,0.8571428571428571,20,0.4,0,0.0
ar3,Mod,42,0.6666666666666666,44,0.6984126984126984,16,0.25396825396825395,0,0.0,2,0.5,40,0.8333333333333334,0,0.0,35,0.9210526315789473,1,0.5,5,0.625,3,0.75,3,0.07894736842105263,2,1.0,11,0.2391304347826087,0,0
ar4,Default,17,0.1588785046728972,69,0.6448598130841121,46,0.42990654205607476,6,0.08108108108108109,0,0.0,10,0.1282051282051282,1,0.5,13,0.29545454545454547,12,1.0,43,0.581081081081081,1,1.0,1,0.022727272727272728,10,0.8333333333333334,35,0.44871794871794873,0,0.0
ar4,Mod,83,0.7757009345794392,50,0.4672897196261682,51,0.4766355140186916,0,0.0,14,1.0,69,0.9078947368421053,0,0,36,0.9,4,0.36363636363636365,3,0.42857142857142855,7,0.5,2,0.05,10,0.9090909090909091,39,0.5064935064935064,0,0.0
ar6,Default,22,0.21782178217821782,66,0.6534653465346535,44,0.43564356435643564,5,0.07462686567164178,2,0.6666666666666666,15,0.19480519480519481,0,0.0,16,0.37209302325581395,7,1.0,40,0.5970149253731343,3,1.0,2,0.046511627906976744,7,1.0,35,0.4605263157894737,0,0
ar6,Mod,71,0.7029702970297029,31,0.3069306930693069,58,0.5742574257425742,0,0.0,10,0.8333333333333334,61,0.8356164383561644,0,0.0,21,0.8076923076923077,1,0.09090909090909091,7,0.5833333333333334,2,0.16666666666666666,1,0.038461538461538464,9,0.8181818181818182,48,0.6575342465753424,0,0.0
arsenic-female-bladder,Default,56,0.1001788908765653,261,0.4669051878354204,253,0.4525939177101968,51,0.10647181628392484,0,0,0,0.0,5,1.0,0,0.0,58,1.0,203,0.42379958246346555,0,0,24,0.08695652173913043,51,0.8793103448275862,178,0.413953488372093,0,0.0
arsenic-female-bladder,Mod,321,0.5742397137745975,282,0.5044722719141324,259,0.46332737030411447,21,0.18421052631578946,35,0.7608695652173914,257,0.7342857142857143,8,0.42105263157894735,186,0.7591836734693878,19,0.4418604651162791,55,0.4824561403508772,22,0.4782608695652174,56,0.22857142857142856,30,0.6976744186046512,164,0.46458923512747874,9,0.4090909090909091
arsenic-female-lung,Default,56,0.1001788908765653,261,0.4669051878354204,253,0.4525939177101968,52,0.0962962962962963,0,0,0,0.0,4,1.0,0,0.0,18,1.0,243,0.45,0,0,24,0.08080808080808081,16,0.8888888888888888,213,0.4382716049382716,0,0.0
arsenic-female-lung,Mod,328,0.5867620751341681,339,0.6064400715563506,193,0.34525939177101966,25,0.20161290322580644,1,0.3333333333333333,301,0.7525,1,0.3333333333333333,296,0.7648578811369509,7,1.0,33,0.2661290322580645,3,1.0,83,0.2144702842377261,6,0.8571428571428571,99,0.2456575682382134,5,0.8333333333333334
arsenic-male-bladder,Default,56,0.1001788908765653,296,0.5295169946332737,282,0.5044722719141324,53,0.09906542056074766,0,0,0,0.0,3,1.0,0,0.0,21,1.0,275,0.514018691588785,0,0,21,0.08076923076923077,17,0.8095238095238095,244,0.505175983436853,0,0.0
arsenic-male-bladder,Mod,334,0.5974955277280859,322,0.5760286225402504,228,0.407871198568873,27,0.21428571428571427,6,0.75,298,0.7506297229219143,3,0.6,253,0.7881619937694704,7,0.6363636363636364,58,0.4603174603174603,4,0.5,70,0.21806853582554517,9,0.8181818181818182,146,0.3677581863979849,3,0.6
arsenic-male-lung,Default,56,0.1001788908765653,296,0.5295169946332737,278,0.49731663685152055,54,0.0989010989010989,0,0,0,0.0,2,1.0,0,0.0,13,1.0,283,0.5183150183150184,0,0,19,0.07224334600760456,13,1.0,246,0.5020408163265306,0,0
